Match;Competition;Date;Position;Minutes played;Total actions / successful;;Goals;Assists;Shots / on target;;xG;Passes / accurate;;Long passes / accurate;;Crosses / accurate;;Dribbles / successful;;Duels / won;;Aerial duels / won;;Interceptions;Losses / own half;;Recoveries / opp. half;;Yellow card;Red card;Defensive duels / won;;Loose ball duels / won;;Sliding tackles / successful;;Clearances;Fouls;Yellow cards;Red cards;Shot assists;Offensive duels / won;;Touches in penalty area;Offsides;Progressive runs;Fouls suffered;Through passes / accurate;;xA;Second assists;Passes to final third / accurate;;Passes to penalty area / accurate;;Received passes;Forward passes / accurate;;Back passes / accurate;;Conceded goals;xCG;Shots against;Saves / with reflexes;;Exits;Passes to GK / accurate;;Goal kicks;Short goal kicks;Long goal kicks
Barcelona - Real Sociedad 3:2;Spain. LaLiga;2017-04-15;RWF;95;75;48;2;1;4;3;0,97;41;35;2;1;0;0;7;2;22;7;3;0;3;9;1;2;2;0;0;3;2;3;2;0;0;1;0;0;0;1;13;3;5;0;5;2;4;1;0,09;0;4;2;4;4;41;18;16;6;6;0;0;0;0;0;0;0;0;0;0;0
Málaga - Barcelona 2:0;Spain. LaLiga;2017-04-08;AMF, RWF;94;90;57;0;0;6;0;0,06;48;40;7;4;0;0;19;11;30;14;1;0;0;15;0;4;3;0;0;2;0;0;0;0;0;0;1;0;0;0;27;14;0;0;1;7;4;2;0;0;9;5;9;7;33;16;11;5;5;0;0;0;0;0;0;0;0;0;0;0
Barcelona - Sevilla 3:0;Spain. LaLiga;2017-04-05;RWF;92;100;62;2;0;7;3;1,03;57;47;7;4;2;1;17;7;28;9;0;0;1;14;0;2;2;0;0;3;1;3;0;0;0;1;1;0;0;1;22;8;10;0;7;1;6;0;0,09;0;7;4;10;7;47;16;11;12;10;0;0;0;0;0;0;0;0;0;0;0
Barcelona - Valencia 4:2;Spain. LaLiga;2017-03-19;RWF;93;102;69;2;0;8;4;1,69;57;46;4;1;0;0;21;14;31;18;1;1;0;19;0;2;1;86;0;2;1;4;1;0;0;0;0;1;0;5;24;15;7;0;5;2;8;5;0,5;0;10;7;13;8;49;18;11;8;6;0;0;0;0;0;0;0;0;0;0;0
Deportivo La Coruña - Barcelona 2:1;Spain. LaLiga;2017-03-12;RWF;93;86;58;0;0;5;1;0,28;56;44;7;2;2;2;5;3;20;10;0;0;0;12;1;0;0;0;0;0;0;5;1;0;0;0;0;0;0;2;15;9;3;0;3;1;6;1;0,17;0;8;4;10;6;48;17;10;4;4;0;0;0;0;0;0;0;0;0;0;0
Barcelona - Celta de Vigo 5:0;Spain. LaLiga;2017-03-04;RWF;93;88;56;2;2;6;3;0,44;57;43;0;0;1;1;5;3;21;8;2;0;0;16;0;2;2;0;0;3;1;0;0;0;0;0;0;0;0;4;16;7;10;0;2;0;7;3;0,69;1;9;8;12;7;39;21;16;9;8;0;0;0;0;0;0;0;0;0;0;0
Barcelona - Sporting Gijón 6:1;Spain. LaLiga;2017-03-01;CF;61;57;39;1;1;4;1;0,36;40;34;3;3;1;0;3;1;11;4;0;0;0;6;1;2;1;0;0;2;1;4;1;0;0;0;0;0;0;2;5;2;6;0;0;1;8;5;0,37;0;8;7;5;4;37;13;12;9;8;0;0;0;0;0;0;0;0;0;0;0
Atlético Madrid - Barcelona 1:2;Spain. LaLiga;2017-02-26;AMF;94;65;33;1;0;6;3;0,83;30;21;3;1;0;0;4;1;19;6;0;0;1;8;1;2;2;82;0;4;2;2;0;0;0;0;0;1;0;1;13;4;4;0;1;2;4;1;0,25;0;4;2;4;2;24;11;6;4;3;0;0;0;0;0;0;0;0;0;0;0
Barcelona - Leganés 2:1;Spain. LaLiga;2017-02-19;RWF;96;104;70;2;0;6;3;1,44;63;48;5;1;0;0;13;6;28;14;2;1;1;14;0;6;6;0;0;4;3;0;0;0;0;0;0;0;0;1;22;10;2;0;5;4;10;2;0,17;0;10;5;10;5;52;19;9;10;8;0;0;0;0;0;0;0;0;0;0;0
Deportivo Alavés - Barcelona 0:6;Spain. LaLiga;2017-02-11;RWF;93;85;59;1;0;7;2;0,83;53;46;2;2;1;0;10;5;23;9;0;0;0;13;0;1;1;0;0;2;2;2;0;0;0;0;0;0;0;0;19;7;6;0;2;3;2;1;0;1;8;6;6;6;39;19;15;8;7;0;0;0;0;0;0;0;0;0;0;0
Barcelona - Athletic Club 3:0;Spain. LaLiga;2017-02-04;RWF;63;44;24;1;0;2;1;0,15;19;13;4;3;1;0;9;1;19;7;0;0;0;8;1;3;1;0;0;2;2;3;2;0;0;0;0;0;0;1;14;3;4;0;1;2;0;0;0,11;0;6;3;3;3;11;11;8;2;1;0;0;0;0;0;0;0;0;0;0;0
Real Betis - Barcelona 1:1;Spain. LaLiga;2017-01-29;AMF, RWF;94;65;45;0;0;2;0;0,13;41;34;5;2;0;0;6;3;18;8;0;0;0;8;0;2;2;0;0;1;1;4;1;0;0;0;0;0;0;3;13;6;0;0;1;2;8;4;0,54;0;8;5;9;5;39;15;10;4;4;0;0;0;0;0;0;0;0;0;0;0
Eibar - Barcelona 0:4;Spain. LaLiga;2017-01-22;RWF;94;67;43;1;0;4;2;0,25;43;31;7;6;2;1;9;3;19;9;0;0;0;10;0;4;2;0;0;0;0;0;0;0;0;0;0;0;0;4;19;9;2;0;1;2;4;1;0,48;2;11;10;13;8;31;22;16;8;6;0;0;0;0;0;0;0;0;0;0;0
Barcelona - Las Palmas 5:0;Spain. LaLiga;2017-01-14;RWF;92;92;52;1;0;7;3;1,25;47;37;4;2;4;4;8;2;32;11;1;1;0;7;1;6;5;0;0;5;2;4;2;0;0;0;0;0;0;5;22;6;9;1;4;2;5;1;1,15;0;6;5;7;4;31;15;10;12;12;0;0;0;0;0;0;0;0;0;0;0
Villarreal - Barcelona 1:1;Spain. LaLiga;2017-01-08;RW, RWF;95;98;68;1;0;6;2;0,84;61;53;7;5;1;0;9;5;27;9;2;0;0;15;3;2;2;0;0;1;1;3;0;0;0;0;0;0;0;7;21;8;5;0;2;4;7;4;0,57;0;13;11;12;9;48;20;15;4;3;0;0;0;0;0;0;0;0;0;0;0
Barcelona - Espanyol 4:1;Spain. LaLiga;2016-12-18;RWF;96;86;54;1;0;7;2;1,07;43;35;7;3;1;0;22;12;32;15;0;0;2;16;0;3;3;0;0;0;0;1;1;0;0;1;0;0;0;2;31;14;6;0;3;2;8;3;0,15;1;15;12;6;3;32;19;13;5;5;0;0;0;0;0;0;0;0;0;0;0
Osasuna - Barcelona 0:3;Spain. LaLiga;2016-12-10;RWF;94;103;82;2;0;7;5;1,14;66;59;6;3;1;0;13;7;23;12;0;0;0;6;0;2;1;0;0;0;0;3;0;0;0;0;0;0;0;4;20;12;9;0;4;5;7;4;0,28;1;9;6;12;9;58;18;13;10;9;0;0;0;0;0;0;0;0;0;0;0
Barcelona - Real Madrid 1:1;Spain. LaLiga;2016-12-03;RWF;93;85;56;0;0;2;1;0,18;44;42;2;1;0;0;14;6;31;10;1;0;1;8;1;4;4;0;0;6;3;2;0;0;0;0;2;0;0;2;22;7;2;0;3;2;1;1;0,03;0;5;4;6;5;32;10;8;12;12;0;0;0;0;0;0;0;0;0;0;0
Real Sociedad - Barcelona 1:1;Spain. LaLiga;2016-11-27;RWF;95;58;38;1;0;1;1;0,3;32;23;4;2;1;0;9;3;24;14;0;0;0;12;5;3;1;0;0;4;3;3;3;2;1;0;0;0;0;1;17;8;3;0;2;1;2;1;0,1;0;8;5;4;2;19;10;5;6;6;0;0;0;0;0;0;1;1;0;0;0
Sevilla - Barcelona 1:2;Spain. LaLiga;2016-11-06;RWF;93;73;55;1;1;6;3;1,09;41;34;0;0;0;0;9;8;20;15;1;1;0;13;2;2;2;83;0;2;1;0;0;1;0;0;0;1;0;2;17;13;6;0;3;4;6;1;0,45;0;6;6;9;5;32;17;11;5;5;0;0;0;0;0;0;0;0;0;0;0
Barcelona - Granada 1:0;Spain. LaLiga;2016-10-29;RWF;93;74;51;0;0;4;0;0,26;44;38;7;6;1;1;9;6;22;10;0;0;1;8;0;1;1;0;0;0;0;2;1;0;0;0;0;0;0;1;20;9;2;0;1;2;10;6;0,04;0;12;8;10;10;36;14;11;9;9;0;0;0;0;0;0;0;0;0;0;0
Valencia - Barcelona 2:3;Spain. LaLiga;2016-10-22;RWF;97;87;54;2;0;4;3;0,88;48;39;6;2;0;0;11;1;29;9;2;1;0;14;4;1;1;73;0;3;0;2;1;0;0;0;2;1;0;2;22;7;3;0;2;2;4;1;0,29;0;10;6;6;4;36;17;11;7;7;0;0;0;0;0;0;0;0;0;0;0
Barcelona - Deportivo La Coruña 4:0;Spain. LaLiga;2016-10-15;RWF;37;60;46;1;0;4;2;0,26;40;35;6;5;1;1;8;4;15;9;1;0;0;4;0;2;2;89;0;0;0;1;1;0;0;0;0;1;0;1;13;8;2;0;0;0;6;2;0,1;0;3;3;10;7;28;11;6;5;5;0;0;0;0;0;0;0;0;0;0;0
Barcelona - Atlético Madrid 1:1;Spain. LaLiga;2016-09-21;RWF;59;47;28;0;0;5;2;0,29;25;21;1;1;0;0;2;1;14;4;1;0;0;6;1;1;1;0;0;2;0;1;0;0;0;0;1;0;0;1;10;4;3;0;1;0;0;0;0,07;0;7;6;3;2;23;8;6;4;3;0;0;0;0;0;0;0;0;0;0;0
Leganés - Barcelona 1:5;Spain. LaLiga;2016-09-17;LWF, RWF;92;67;46;2;1;6;4;1,74;35;28;4;1;0;0;8;6;24;13;0;0;1;11;1;2;2;0;0;3;2;1;0;0;0;0;0;0;0;1;20;11;6;0;1;3;7;3;0,32;0;8;7;7;4;27;14;12;3;2;0;0;0;0;0;0;0;0;0;0;0
Barcelona - Deportivo Alavés 1:2;Spain. LaLiga;2016-09-10;RWF;35;40;20;0;0;3;0;0,18;21;15;5;2;0;0;5;2;14;5;0;0;0;4;0;1;1;0;0;2;1;2;0;0;0;0;0;0;0;0;10;4;2;0;1;0;6;3;0;0;1;0;7;6;15;7;5;4;3;0;0;0;0;0;0;0;0;0;0;0
Athletic Club - Barcelona 0:1;Spain. LaLiga;2016-08-28;RWF;94;86;51;0;0;2;0;0,42;47;35;5;3;0;0;12;6;31;13;0;0;3;13;0;1;1;0;0;3;2;5;1;0;0;0;0;0;0;2;23;10;5;0;2;2;6;0;0,38;0;9;5;5;2;35;14;6;10;9;0;0;0;0;0;0;0;0;0;0;0
Barcelona - Real Betis 6:2;Spain. LaLiga;2016-08-20;RWF;93;125;87;2;1;12;5;1,21;81;66;7;4;3;1;14;8;26;14;0;0;0;20;0;5;5;0;0;2;2;4;1;0;0;0;1;0;0;5;20;11;9;0;3;2;11;7;1,18;1;12;9;17;11;67;28;22;10;10;0;0;0;0;0;0;0;0;0;0;0
Granada - Barcelona 0:3;Spain. LaLiga;2016-05-14;RWF;94;70;48;0;0;4;3;0,26;49;37;7;4;0;0;5;2;16;8;0;0;1;10;1;1;1;0;0;1;1;0;0;0;0;0;0;0;0;2;15;7;2;0;0;2;12;6;0,07;1;11;7;10;5;34;21;15;12;12;0;0;0;0;0;0;0;0;0;0;0
Barcelona - Espanyol 5:0;Spain. LaLiga;2016-05-08;RWF;93;105;71;1;1;6;2;1,68;54;47;6;5;2;0;24;15;37;21;0;0;1;16;0;2;2;12;0;1;0;3;1;0;0;1;1;1;0;3;33;20;9;0;3;5;3;2;1,03;0;9;8;7;5;40;22;19;13;13;0;0;0;0;0;0;0;0;0;0;0
Real Betis - Barcelona 0:2;Spain. LaLiga;2016-04-30;RWF;94;116;74;0;2;3;0;0,46;81;62;12;11;1;0;13;5;28;10;0;0;0;19;1;1;0;23;0;3;1;2;2;0;0;0;0;1;0;3;23;7;6;0;0;3;12;3;0,91;0;14;9;14;8;63;27;13;14;14;0;0;0;0;0;0;0;0;0;0;0
Barcelona - Sporting Gijón 6:0;Spain. LaLiga;2016-04-23;RWF;92;104;77;1;1;7;3;0,91;70;60;8;4;1;0;16;7;26;13;1;1;0;8;1;1;1;0;0;0;0;1;1;0;0;0;0;0;0;3;24;11;7;0;5;0;11;6;0,57;1;12;9;15;11;56;30;22;12;11;0;0;0;0;0;0;0;0;0;0;0
Deportivo La Coruña - Barcelona 0:8;Spain. LaLiga;2016-04-20;RWF;90;104;78;1;2;4;2;0,8;75;67;9;6;0;0;13;6;23;8;1;0;0;9;2;0;0;0;0;0;0;3;0;0;0;0;1;0;0;3;19;8;6;0;4;0;6;2;0,64;2;6;6;11;7;66;18;14;20;19;0;0;0;0;0;0;0;0;0;0;0
Barcelona - Valencia 1:2;Spain. LaLiga;2016-04-17;RWF;95;88;58;1;0;7;4;0,88;49;39;5;1;1;1;13;7;26;12;1;1;1;12;1;2;2;0;0;1;1;2;0;0;0;0;0;0;0;2;22;10;8;0;2;2;7;4;0,22;0;8;4;9;7;37;17;13;11;11;0;0;0;0;0;0;1;1;0;0;0
Real Sociedad - Barcelona 1:0;Spain. LaLiga;2016-04-09;RWF;93;93;58;0;0;7;2;0,66;55;43;13;5;2;0;14;9;31;13;1;0;0;15;1;0;0;0;0;2;1;6;1;0;0;0;0;0;0;0;22;11;4;0;0;3;8;1;0;0;11;7;7;2;44;18;8;7;6;0;0;0;0;0;0;0;0;0;0;0
Barcelona - Real Madrid 1:2;Spain. LaLiga;2016-04-02;RWF;93;110;78;0;0;3;1;0,13;75;65;7;3;0;0;10;5;22;7;0;0;0;11;0;2;2;0;0;1;0;5;2;0;0;0;2;0;0;3;16;5;3;0;2;0;5;2;0,45;0;13;11;7;3;65;20;14;13;13;0;0;0;0;0;0;0;0;0;0;0
Villarreal - Barcelona 2:2;Spain. LaLiga;2016-03-20;RWF;96;100;80;0;0;4;1;0,21;63;60;11;10;0;0;12;6;24;13;2;0;0;7;2;0;0;0;0;4;3;1;1;0;0;0;1;0;0;3;17;9;0;1;5;1;4;3;0,49;0;11;10;7;7;56;14;13;12;12;0;0;0;0;0;0;0;0;0;0;0
Barcelona - Getafe 6:0;Spain. LaLiga;2016-03-12;RWF;92;91;64;1;3;6;2;1,08;50;42;8;5;3;0;17;10;33;19;0;0;0;8;0;2;2;0;0;2;1;1;1;0;0;0;0;0;0;6;30;17;4;0;6;3;7;2;1,75;0;12;10;13;8;37;16;13;8;8;0;0;0;0;0;0;0;0;0;0;0
Eibar - Barcelona 0:4;Spain. LaLiga;2016-03-06;RWF;92;102;80;2;0;3;3;1,08;62;54;11;8;2;1;14;11;30;19;1;0;1;13;1;2;1;0;0;2;1;2;0;0;0;0;0;0;0;3;25;18;3;0;5;5;9;4;0,59;1;7;5;10;7;43;15;11;16;15;0;0;0;0;0;0;0;0;0;0;0
Rayo Vallecano - Barcelona 1:5;Spain. LaLiga;2016-03-03;RWF;91;78;58;3;0;5;4;0,98;42;34;2;0;0;0;13;9;26;16;4;3;0;11;3;4;4;0;0;0;0;2;1;0;0;0;0;0;0;5;20;12;9;1;2;3;5;3;0,51;1;5;5;5;4;29;9;8;12;12;0;0;0;0;0;0;0;0;0;0;0
Barcelona - Sevilla 2:1;Spain. LaLiga;2016-02-28;RWF;92;95;71;1;0;4;2;0,52;67;53;3;1;0;0;9;8;18;11;0;0;1;12;1;4;3;0;0;1;0;1;1;0;0;0;0;0;0;3;16;10;5;0;5;0;10;4;0,17;1;9;7;9;8;49;24;17;15;11;0;0;0;0;0;0;0;0;0;0;0
Las Palmas - Barcelona 1:2;Spain. LaLiga;2016-02-20;RWF;93;81;47;0;0;4;2;0,31;36;31;3;1;0;0;6;2;27;8;1;0;1;6;0;3;3;0;0;3;3;6;1;0;0;0;1;0;0;2;17;4;5;2;1;1;2;1;0,23;0;5;4;4;4;28;8;6;8;7;0;0;0;0;0;0;0;0;0;0;0
Sporting Gijón - Barcelona 1:3;Spain. LaLiga;2016-02-17;RWF;94;105;76;2;0;4;3;0,62;71;57;4;2;0;0;10;5;27;15;1;0;0;11;0;2;2;0;0;3;2;2;2;0;0;0;1;0;0;2;21;11;4;0;2;2;13;5;0,45;0;7;3;14;8;60;26;18;10;9;0;0;0;0;0;0;0;0;0;0;0
Barcelona - Celta de Vigo 6:1;Spain. LaLiga;2016-02-14;RWF;92;74;46;1;2;4;3;1,03;35;25;2;1;1;0;14;9;33;16;1;0;0;14;0;2;2;0;0;1;1;3;2;0;0;0;0;0;0;3;28;13;0;0;4;2;6;2;0,95;1;8;4;6;4;20;13;8;11;9;0;0;0;0;0;0;0;0;0;0;0
Levante - Barcelona 0:2;Spain. LaLiga;2016-02-07;RWF;92;77;60;0;1;2;1;0,04;61;54;8;6;0;0;4;2;11;5;0;0;0;8;0;0;0;0;0;1;1;3;1;0;0;0;0;0;0;1;7;3;2;2;0;1;4;1;0,33;0;9;8;14;9;57;22;17;8;8;0;0;0;0;0;0;0;0;0;0;0
Barcelona - Atlético Madrid 2:1;Spain. LaLiga;2016-01-30;RWF;93;99;67;1;0;3;2;0,44;61;48;5;3;1;0;4;3;33;17;2;0;2;14;5;3;1;0;0;4;3;3;3;0;0;0;0;0;0;2;24;11;5;0;0;3;4;1;0,09;0;7;5;5;2;45;11;8;18;16;0;0;0;0;0;0;1;1;0;0;0
Málaga - Barcelona 1:2;Spain. LaLiga;2016-01-23;RWF;96;86;49;1;0;6;2;1,27;47;39;8;4;1;0;13;6;27;9;2;0;0;11;0;2;2;65;0;2;1;4;0;1;0;0;1;1;0;3;19;8;4;1;2;1;5;2;0,35;0;4;1;3;3;37;9;7;11;11;0;0;0;0;0;0;0;0;0;0;0
Barcelona - Athletic Club 6:0;Spain. LaLiga;2016-01-17;RWF;46;49;33;1;0;3;1;0,99;34;28;6;4;0;0;4;1;12;4;0;0;0;9;2;2;2;0;0;2;0;4;3;0;0;0;0;0;0;2;6;1;1;0;0;1;4;1;0,06;0;4;3;4;1;32;4;2;5;5;0;0;0;0;0;0;0;0;0;0;0
Barcelona - Granada 4:0;Spain. LaLiga;2016-01-09;RWF;92;93;69;3;0;5;4;1,68;67;57;5;2;1;0;7;1;18;7;0;0;1;12;1;6;6;0;0;0;0;3;2;0;0;0;0;0;0;2;15;5;6;0;3;1;12;4;0,27;1;13;9;7;4;49;18;11;18;17;0;0;0;0;0;0;0;0;0;0;0
Espanyol - Barcelona 0:0;Spain. LaLiga;2016-01-02;RWF;92;79;50;0;0;4;1;0,25;41;32;5;4;2;0;17;10;29;14;0;0;2;15;2;3;3;0;0;3;3;2;0;0;0;0;1;0;0;1;24;11;4;0;4;4;4;2;0,02;0;10;8;5;3;31;14;12;9;9;0;0;0;0;0;0;0;0;0;0;0
Barcelona - Real Betis 4:0;Spain. LaLiga;2015-12-30;RWF;94;73;47;1;0;5;3;0,92;48;36;6;5;0;0;3;3;17;9;1;0;1;14;2;2;2;0;0;1;0;4;2;0;0;0;0;0;0;2;11;7;2;0;0;3;8;5;0,08;1;5;4;7;5;39;18;11;15;13;0;0;0;0;0;0;0;0;0;0;0
Barcelona - Deportivo La Coruña 2:2;Spain. LaLiga;2015-12-12;RWF;95;134;101;1;1;6;3;0,39;91;76;8;7;2;0;27;19;35;21;0;0;0;12;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;5;33;19;5;0;6;1;9;4;0,6;0;15;14;16;11;74;28;19;11;9;0;0;0;0;0;0;0;0;0;0;0
Valencia - Barcelona 1:1;Spain. LaLiga;2015-12-05;RWF;94;115;65;0;1;6;3;0,6;59;47;5;1;1;0;11;5;42;12;1;0;2;21;1;2;2;0;0;3;2;7;1;0;0;0;2;0;0;1;31;9;5;0;5;1;6;2;0,12;0;9;6;4;2;46;17;10;13;13;0;0;0;0;0;0;0;0;0;0;0
Barcelona - Real Sociedad 4:0;Spain. LaLiga;2015-11-28;RWF;95;66;41;1;0;6;2;0,59;31;25;6;2;1;0;12;7;25;12;1;0;1;8;3;2;1;0;0;3;3;2;0;0;0;0;0;0;0;0;19;9;5;1;2;1;4;2;0;0;5;2;7;6;22;7;4;3;3;0;0;0;0;0;0;0;0;0;0;0
Real Madrid - Barcelona 0:4;Spain. LaLiga;2015-11-21;RWF, CF;36;46;33;0;0;2;0;0,06;32;26;6;5;0;0;4;2;8;4;0;0;0;3;1;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;6;2;1;0;3;1;4;1;0;1;9;7;3;1;24;14;10;9;8;0;0;0;0;0;0;0;0;0;0;0
Barcelona - Las Palmas 2:1;Spain. LaLiga;2015-09-26;RWF;9;10;9;0;0;1;1;0,07;6;6;0;0;0;0;2;1;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;1;0;0;0;0;0;0;0;2;2;0;0;4;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0
Celta de Vigo - Barcelona 4:1;Spain. LaLiga;2015-09-23;AMF, RWF;92;77;51;0;1;7;3;0,79;41;35;3;2;1;1;10;6;28;13;3;0;0;7;1;1;1;0;0;1;1;1;1;0;0;0;0;0;0;6;23;11;6;0;0;3;5;4;1,04;0;6;2;8;7;29;14;12;6;5;0;0;0;0;0;0;0;0;0;0;0
Barcelona - Levante 4:1;Spain. LaLiga;2015-09-20;AMF;92;111;78;2;1;10;4;2,1;60;50;7;5;1;1;21;15;33;19;1;1;1;8;0;1;1;0;0;2;0;5;1;0;0;0;0;0;0;3;25;17;7;1;7;2;8;4;0,51;0;15;12;11;8;48;26;20;7;6;0;0;0;0;0;0;0;0;0;0;0
Atlético Madrid - Barcelona 1:2;Spain. LaLiga;2015-09-12;RWF;33;53;42;1;0;3;1;0,16;27;26;2;1;0;0;13;9;18;12;0;0;0;4;2;2;2;0;0;3;1;0;0;0;0;0;2;0;0;2;15;11;1;0;1;2;2;1;0,26;0;4;3;5;4;23;12;11;4;4;0;0;0;0;0;0;0;0;0;0;0
Barcelona - Málaga 1:0;Spain. LaLiga;2015-08-29;RWF;94;121;88;0;0;7;5;0,7;80;64;15;14;3;1;19;13;30;16;0;0;2;10;1;4;4;0;0;3;2;4;1;0;0;0;0;0;0;2;23;13;6;0;3;1;7;1;0,06;0;16;15;16;11;58;24;18;11;10;0;0;0;0;0;0;0;0;0;0;0
Athletic Club - Barcelona 0:1;Spain. LaLiga;2015-08-23;RWF;97;78;54;0;0;5;2;0,99;48;35;4;3;1;0;9;8;22;14;2;0;1;17;1;3;3;0;0;2;2;1;1;0;0;0;0;0;0;1;17;11;2;0;4;0;3;1;0,22;0;9;5;4;1;35;13;8;13;12;0;0;0;0;0;0;0;0;0;0;0
