Match;Competition;Date;Position;Minutes played;Total actions / successful;;Goals;Assists;Shots / on target;;xG;Passes / accurate;;Long passes / accurate;;Crosses / accurate;;Dribbles / successful;;Duels / won;;Aerial duels / won;;Interceptions;Losses / own half;;Recoveries / opp. half;;Yellow card;Red card;Defensive duels / won;;Loose ball duels / won;;Sliding tackles / successful;;Clearances;Fouls;Yellow cards;Red cards;Shot assists;Offensive duels / won;;Touches in penalty area;Offsides;Progressive runs;Fouls suffered;Through passes / accurate;;xA;Second assists;Passes to final third / accurate;;Passes to penalty area / accurate;;Received passes;Forward passes / accurate;;Back passes / accurate;;Conceded goals;xCG;Shots against;Saves / with reflexes;;Exits;Passes to GK / accurate;;Goal kicks;Short goal kicks;Long goal kicks
Barcelona - Espanyol 1:0;Spain. LaLiga;2020-07-08;RW, RWF;99;117;82;0;0;4;1;0,39;86;72;3;2;3;0;9;4;18;8;0;0;0;9;0;1;1;0;0;2;1;2;0;0;0;0;0;0;0;0;14;7;4;1;9;3;3;0;0;0;13;8;8;3;85;29;22;14;13;0;0;0;0;0;0;0;0;0;0;0
Villarreal - Barcelona 1:4;Spain. LaLiga;2020-07-05;AMF, CF;98;118;91;0;2;4;2;0,59;87;79;2;1;2;0;5;1;18;6;0;0;1;13;0;2;1;0;0;1;0;3;1;0;0;0;0;0;0;7;14;5;8;0;8;1;8;5;0,9;0;12;12;9;7;83;31;28;18;18;0;0;0;0;0;0;0;0;0;0;0
Barcelona - Atlético Madrid 2:2;Spain. LaLiga;2020-06-30;CF;98;99;59;1;0;6;2;1;56;46;4;2;2;2;16;5;28;9;0;0;0;10;1;2;1;61;0;2;1;3;1;0;0;0;1;1;0;2;23;7;4;0;3;2;7;2;0,25;0;9;8;8;3;53;20;14;11;10;0;0;0;0;0;0;0;0;0;0;0
Celta de Vigo - Barcelona 2:2;Spain. LaLiga;2020-06-27;CF, RWF;97;96;66;0;2;7;0;0,45;58;52;4;3;0;0;9;5;20;8;0;0;2;7;1;5;5;0;0;4;2;2;0;0;0;0;0;0;0;5;14;6;6;0;4;2;1;1;1,03;0;5;3;8;6;48;15;11;8;8;0;0;0;0;0;0;0;0;0;0;0
Barcelona - Athletic Club 1:0;Spain. LaLiga;2020-06-23;RWF;97;109;64;0;0;7;1;0,31;59;46;6;2;4;1;18;8;39;15;0;0;0;23;4;3;2;0;0;3;2;3;0;0;0;0;1;0;0;4;33;13;2;0;5;4;2;0;0,44;0;8;6;11;7;44;13;9;8;7;0;0;0;0;0;0;0;0;0;0;0
Sevilla - Barcelona 0:0;Spain. LaLiga;2020-06-19;RWF, CF;101;116;70;0;0;4;3;0,22;66;56;2;2;3;1;8;2;26;8;1;0;0;17;0;4;2;0;0;3;0;0;0;0;0;0;2;0;0;1;22;8;2;0;6;5;4;2;0,08;0;10;9;7;5;57;16;12;8;8;0;0;0;0;0;0;0;0;0;0;0
Barcelona - Leganés 2:0;Spain. LaLiga;2020-06-16;RWF;99;133;79;1;0;3;2;0,92;78;61;7;2;0;0;12;8;31;12;1;0;2;18;2;4;3;0;0;5;1;2;1;0;0;0;3;0;0;0;23;10;1;0;8;5;6;1;0;0;16;9;6;3;70;22;14;16;16;0;0;0;0;0;0;1;1;0;0;0
Mallorca - Barcelona 0:4;Spain. LaLiga;2020-06-13;RWF, CF;99;107;75;1;2;3;1;0,34;65;54;3;2;3;1;15;10;27;12;0;0;1;12;0;5;5;0;0;1;1;2;0;0;0;0;0;0;0;4;24;11;8;0;7;3;8;5;1,12;0;9;9;13;9;56;17;13;11;11;0;0;0;0;0;0;0;0;0;0;0
Barcelona - Real Sociedad 1:0;Spain. LaLiga;2020-03-07;CF;97;94;54;1;0;6;2;1,61;39;34;1;0;1;1;16;7;35;14;0;0;0;10;1;2;2;42;0;4;1;7;3;1;0;0;2;1;0;3;24;10;6;0;7;2;2;0;0,56;0;8;7;5;3;33;11;9;7;7;0;0;0;0;0;0;0;0;0;0;0
Real Madrid - Barcelona 2:0;Spain. LaLiga;2020-03-01;AMF, CF;93;101;70;0;0;3;2;0,26;62;57;3;2;3;0;6;2;24;7;0;0;2;14;2;3;2;85;0;7;2;1;1;0;0;0;2;1;0;1;16;4;5;0;6;1;0;0;0,1;0;11;11;3;1;58;16;15;13;12;0;0;0;0;0;0;0;0;0;0;0
